title,company,location,duration,stipend,hiring_since,oppor_posted,perks,skills,openings
Operations,Hush And Wear,Work From Home,2 Months," 5,000 /month +  Incentives",Hiring since May 2022,19 opportunities posted,"Certificate,Letter of recommendation,Job offer","English Proficiency (Spoken),English Proficiency (Written),Hindi Proficiency (Spoken),MS-Excel",1
Web Development,Myrsa Technology Solutions Private Limited,Thane,6 Months," 8,000 /month",Hiring since March 2017,249 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,Informal dress code,5 days a week,Job offer",".NET,Bootstrap,CSS,HTML,JavaScript,Node.js,PHP,ReactJS",5
Video Editing,Ken Institute Of Executive Learning,Hyderabad,6 Months," 10,000-15,000 /month",Hiring since July 2022,3 opportunities posted,"Flexible work hours,Informal dress code,5 days a week,Job offer","Adobe After Effects,Adobe Illustrator,Adobe Photoshop,Canva,Video Editing,Video Making",1
Graphic Design,The Girlfriend Box,Mumbai,3 Months," 10,000 /month",Hiring since November 2022,3 opportunities posted,"Certificate,Letter of recommendation,Informal dress code,Free snacks & beverages","Adobe After Effects,Adobe Creative Suite,Adobe Illustrator,Adobe Indesign,Adobe Photoshop,Adobe Photoshop Lightroom CC,Adobe Premiere Pro,CorelDRAW,UI & UX Design,Video Editing",2
Business Development (Sales),La Mode Fashion Academy,Mumbai,4 Months," 8,000-15,000 /month",Hiring since March 2021,4 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,Job offer",,10
Business Development (Sales),Treflo,Bangalore,2 Months," 15,000 /month",Hiring since May 2022,7 opportunities posted,"Certificate,Letter of recommendation,5 days a week","English Proficiency (Spoken),English Proficiency (Written),MS-Excel",2
Graphic Design,Sachin Gurjar,Work From Home,2 Months," 1,500-5,000 /month",Hiring since November 2022,2 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week","Adobe Illustrator,Adobe Photoshop,Design Thinking,Video Editing",2
Content Writing,UpBrinGO,Work From Home,2 Months," 4,000-6,000 /month",Hiring since March 2022,21 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours","Blogging,Creative Writing,English Proficiency (Written)",1
Human Resources (HR),Jarvis Technology & Strategy Consulting,Work From Home,3 Months," 15,000 /month",Hiring since June 2022,8 opportunities posted,Certificate,,30
Salesforce CRM,Conclo Technologies,Work From Home,1 Month," 10,000 /month",Hiring since December 2017,22 opportunities posted,"Certificate,Letter of recommendation,5 days a week",".NET,CSS,HTML,Java,JavaScript",5
Video Making/Editing & Motion Graphics,Nothing Else Matters,Delhi,6 Months," 10,000-12,000 /month",Hiring since September 2019,47 opportunities posted,"Certificate,Letter of recommendation,Informal dress code,5 days a week","Adobe After Effects,Adobe Creative Suite,Adobe Flash,Adobe Indesign,Adobe Photoshop,Adobe Premiere Pro",2
Subject Matter Expert (Science),IPREP Learning Solutions,Work From Home,6 Months," 15,000-20,000 /month",Hiring since May 2018,198 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week","LaTeX,Mathematics,Subject Matter Expert (SME)",1
Marketing,FabBox,Mumbai,3 Months," 5,000 /month",Hiring since October 2021,14 opportunities posted,"Certificate,Letter of recommendation",,6
Data Entry/Computer Operations,EARLY2NINE,Gurgaon,3 Months," 7,000-9,000 /month",Hiring since December 2020,112 opportunities posted,"Certificate,Letter of recommendation","Email Marketing,English Proficiency (Written),MS-Excel,MS-Office,MS-PowerPoint,MS-Word",2
Business Development (Sales),Belgian Sport,Work From Home,2 Months," 6,000 /month",Hiring since November 2022,2 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours","English Proficiency (Spoken),English Proficiency (Written),Hindi Proficiency (Spoken),MS-Excel",2
Operations,Hungry Hormone India,Work From Home,1 Month," 2,500-3,800 /month",Hiring since September 2022,5 opportunities posted,,"English Proficiency (Spoken),English Proficiency (Written),MS-Excel,MS-PowerPoint",1
Video Editing,UnScript AI,Work From Home,3 Months," 20,000 /month",Hiring since November 2022,2 opportunities posted,Certificate,"Video Editing,Video Making",1
Telecalling,La Mode Fashion Academy,Mumbai,4 Months," 7,000-12,000 /month",Hiring since March 2021,4 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,Job offer",,10
Content Editing (English),The Twelfth Man,Work From Home,6 Months," 7,000 /month",Hiring since December 2016,146 opportunities posted,"Certificate,Letter of recommendation","Creative Writing,English Proficiency (Written)",3
Graphic Design,UrbanNaps,Ahmedabad,3 Months," 7,000 /month",Hiring since November 2018,18 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,Informal dress code","Adobe After Effects,Adobe Creative Suite,Adobe Illustrator,Adobe Indesign,Adobe Photoshop,Adobe Photoshop Lightroom CC,Adobe Premiere Pro,CorelDRAW,UI & UX Design,Video Editing",1
Operations,Holiday Bookie Private Limited,Pune,3 Months," 7,000-10,000 /month",Hiring since November 2016,8 opportunities posted,"Certificate,Letter of recommendation,Informal dress code","English Proficiency (Spoken),MS-Excel,Research and Analytics",4
Graphic Design,Nothing Else Matters,Delhi,3 Months," 10,000-12,000 /month",Hiring since September 2019,47 opportunities posted,"Certificate,Letter of recommendation,Informal dress code,5 days a week,Job offer","Adobe After Effects,Adobe Illustrator,Adobe Photoshop",1
Business Development (Sales),PARKEAR REAL ESTATE,Mumbai,3 Months," 7,000 /month",Hiring since August 2022,2 opportunities posted,"Certificate,Letter of recommendation,Job offer","MS-Excel,Sales,Sales and Marketing,Salesforce",1
Business Development (Sales),My Safe Circle,Work From Home,3 Months," 1,000 /month +  Incentives",Hiring since May 2021,25 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours",,12
Law/Legal,MindHind,Work From Home,6 Months," 5,000-20,000 /month",Hiring since August 2020,40 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week",,1
Video Editing,Affilytics Private Limited,Delhi,3 Months," 10,000 /month",Hiring since September 2021,12 opportunities posted,Certificate,"Adobe After Effects,Adobe Premiere Pro",4
Business Development (Sales),Carnival Fintech Private Limited,Work From Home,3 Months," 5,000 /month +  Incentives",Hiring since November 2022,3 opportunities posted,Certificate,"Digital Marketing,Email Marketing,English Proficiency (Spoken),English Proficiency (Written)",10
Flutter Development,Gloify,Bangalore,5 Months," 10,000 /month",Hiring since September 2017,250 opportunities posted,"Certificate,Letter of recommendation,Informal dress code,5 days a week","Flutter,REST API",2
Social Media Marketing,Spotlight Digital,Mumbai,2 Months," 10,000 /month",Hiring since November 2021,9 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,Informal dress code,5 days a week,Free snacks & beverages,Job offer","English Proficiency (Written),Instagram Marketing,Social Media Marketing",2
Internet Of Things (IoT),Gauge.ro (Lalita Ventures),Bangalore,3 Months," 10,000 /month",Hiring since November 2022,1 opportunity posted,"Certificate,Letter of recommendation","Arduino,Embedded Systems,Internet of Things (IoT)",1
Videography/Photography,MUKTI,Kolkata,6 Months," 5,000 /month",Hiring since November 2022,2 opportunities posted,"Certificate,Letter of recommendation","Adobe After Effects,Adobe Photoshop,Adobe Photoshop Lightroom CC,Photography,Video Editing,Video Making",1
Human Resources (HR),Elanco IAC,Bangalore,6 Months," 30,000 /month",Hiring since November 2022,1 opportunity posted,"Certificate,5 days a week,Free snacks & beverages","English Proficiency (Spoken),English Proficiency (Written),MS-Office",1
Operations,Accounting And Financing Services,Work From Home,3 Months," 3,000-4,000 /month",Hiring since November 2022,3 opportunities posted,,,5
Android App Development,Gloify,Bangalore,5 Months," 10,000 /month",Hiring since September 2017,250 opportunities posted,"Certificate,Letter of recommendation,Informal dress code,5 days a week","Android,Java,Kotlin",2
Business Development (Sales),InfyBytes AI Labs Private Limited,Work From Home,3 Months," 8,000 /month",Hiring since October 2018,509 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,Job offer","English Proficiency (Spoken),English Proficiency (Written),Hindi Proficiency (Spoken)",5
Digital Marketing,Meposmart,Noida,3 Months," 5,000 /month +  Incentives",Hiring since November 2022,1 opportunity posted,"Certificate,Letter of recommendation,Informal dress code",Digital Marketing,5
Interior Design,Spacecrafts,Bangalore,3 Months," 10,000 /month",Hiring since November 2022,1 opportunity posted,,"3ds Max,Adobe Photoshop,AutoCAD",3
Business Development (Sales),Mgiants International,Gurgaon,3 Months," 20,000 /month +  Incentives",Hiring since November 2022,3 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours","Email Marketing,English Proficiency (Spoken),English Proficiency (Written),MS-Excel,Social Media Marketing",3
Data Entry,Kalpana Enterprises,Howrah,6 Months," 5,000 /month",Hiring since October 2022,2 opportunities posted,"Informal dress code,5 days a week","English Proficiency (Written),MS-Excel",1
Business/Market/Trend Research,Act Five,Work From Home,2 Months," 20,000 lump sum",Hiring since November 2022,1 opportunity posted,Flexible work hours,"Business Research,Content Marketing,Content Writing",1
Digital Marketing,Tales In Our Backpack,Work From Home,2 Months," 3,000 /month",Hiring since November 2022,1 opportunity posted,5 days a week,"Creative Writing,Digital Marketing,Email Marketing,English Proficiency (Spoken),English Proficiency (Written),Instagram Marketing,Search Engine Marketing (SEM),Search Engine Optimization (SEO),Social Media Marketing",1
Social Media Marketing,Kritisha Gifts,Mumbai,3 Months," 5,000-8,000 /month",Hiring since October 2020,2 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,Informal dress code,5 days a week","Digital Marketing,Instagram Marketing,Social Media Marketing",1
Business Development (Sales),The Finance Fleet,Work From Home,3 Months," 1,000 /month +  Incentives",Hiring since November 2022,1 opportunity posted,"Certificate,Letter of recommendation,Flexible work hours",,10
Social Media Marketing,Sugee Group,Mumbai,6 Months," 35,000 /month",Hiring since November 2022,2 opportunities posted,Job offer,,2
Powerpoint Presentation And Graphic Design,Godatu,Work From Home,2 Months," 1,500 /month",Hiring since October 2015,35 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours","Adobe After Effects,Adobe Indesign,Adobe Photoshop,Adobe Premiere Pro,CorelDRAW,MS-PowerPoint,UI & UX Design",1
Business Development (Sales),PK & PK JEWELLERS PRIVATE LIMITED,Allahabad,3 Months," 5,000 /month",Hiring since November 2022,1 opportunity posted,Certificate,"English Proficiency (Spoken),MS-Excel,MS-Office,MS-PowerPoint,MS-Word",6
Business Development (Sales),Flatmate.in,Noida,6 Months," 10,000 /month +  Incentives",Hiring since November 2022,1 opportunity posted,"Certificate,Letter of recommendation,Informal dress code","English Proficiency (Spoken),MS-Excel,Sales and Marketing",4
Social Media Marketing,Muscle Gene,Work From Home,2 Months," 4,000 /month",Hiring since November 2022,1 opportunity posted,"Certificate,Letter of recommendation,Flexible work hours","Adobe Illustrator,Adobe Photoshop,Adobe Premiere Pro,Digital Marketing,English Proficiency (Spoken),English Proficiency (Written)",2
Content Writing,Gamma Draconis Tech Services Private Limited,Work From Home,4 Months," 8,000 /month +  Incentives",Hiring since November 2022,1 opportunity posted,"Certificate,Flexible work hours,Job offer","Blogging,Copywriting,Creative Writing,English Proficiency (Written),Hindi Proficiency (Written),Social Media Marketing",2
Computer Vision,TensorGo Technologies Private Limited,Work From Home,6 Months," 15,000 /month",Hiring since November 2022,1 opportunity posted,"Certificate,Letter of recommendation,Flexible work hours,Job offer","Algorithms,C++ Programming,Computer Vision,Data Structures,Deep Learning,OpenCV",4
Graphic Design,Kay Array,Jaipur,3 Months," 6,000 /month",Hiring since July 2021,46 opportunities posted,"Certificate,Informal dress code","Adobe Illustrator,Adobe Photoshop,Adobe Premiere Pro,CorelDRAW",2
Content Writing,Future Gaming,Work From Home,2 Months," 3,000 /month +  Incentives",Hiring since December 2021,23 opportunities posted,"Certificate,Letter of recommendation","Blogging,Content Writing,Creative Writing,English Proficiency (Written),Search Engine Optimization (SEO),WordPress",2
Marketing,Scholarshipskey,Work From Home,3 Months," 2,000 /month",Hiring since May 2022,11 opportunities posted,"Certificate,Letter of recommendation,Job offer","Hindi Proficiency (Spoken),Sales and Marketing",3
Business Sales,Novus Immigration Services,Bangalore,6 Months," 10,000 /month",Hiring since November 2022,1 opportunity posted,Informal dress code,,3
Social Media Marketing,NIDA Wellness,Ahmedabad,1 Month," 6,500-8,000 /month",Hiring since November 2022,1 opportunity posted,"Flexible work hours,Informal dress code,5 days a week","Creative Writing,English Proficiency (Spoken),Instagram Marketing,Social Media Marketing",2
Content Writing,Grimbyte Technologies,Work From Home,2 Months," 5,000 /month",Hiring since November 2022,1 opportunity posted,Certificate,"Blogging,Creative Writing,Digital Marketing,English Proficiency (Written),Search Engine Optimization (SEO),Social Media Marketing",2
Law/Legal,Prominent Law Firm,Chandigarh,3 Months," 5,000-20,000 /month",Hiring since November 2022,2 opportunities posted,"Certificate,Letter of recommendation,Job offer","English Proficiency (Written),MS-Office,MS-Word",2
Business Development (Sales),In-Min's Foods Private Limited,Pune,3 Months," 5,000 /month",Hiring since November 2022,1 opportunity posted,"Certificate,Letter of recommendation,Flexible work hours,Informal dress code,Job offer","Digital Marketing,Email Marketing,English Proficiency (Spoken),English Proficiency (Written),MS-Excel,Social Media Marketing",1
Social Media Marketing,SEOToolsKit,Work From Home,6 Months," 1,000 /month +  Incentives",Hiring since September 2021,20 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week","Creative Writing,Digital Marketing,Email Marketing,English Proficiency (Spoken),Facebook Marketing,Instagram Marketing,Search Engine Marketing (SEM),Search Engine Optimization (SEO),Social Media Marketing",50
Human Resources (HR),Accounting And Financing Services,Work From Home,3 Months," 3,000-4,500 /month",Hiring since November 2022,3 opportunities posted,,"English Proficiency (Spoken),English Proficiency (Written),MS-Excel",2
Content Writing,Kotlers Consulting,Work From Home,3 Months," 3,000 /month",Hiring since November 2022,1 opportunity posted,"Certificate,Letter of recommendation,Flexible work hours","Blogging,English Proficiency (Written)",4
Video And Audio Editing,Gurishq Kaur,Work From Home,6 Months," 4,000-4,800 /month",Hiring since November 2022,1 opportunity posted,"Flexible work hours,5 days a week","Audio Editing,Video Editing",1
Web Development,RMgX,Work From Home,6 Months," 15,000-20,000 /month",Hiring since February 2017,121 opportunities posted,"Certificate,5 days a week,Job offer","Angular 2.0,Bootstrap,CSS,HTML,JavaScript,MySQL,SCSS,TypeScript",2
Administration Assistance,Digital Ipsum,Work From Home,3 Months," 2,000 /month",Hiring since March 2021,440 opportunities posted,"Certificate,Letter of recommendation","English Proficiency (Spoken),English Proficiency (Written),Hindi Proficiency (Spoken)",5
Financial Analysis,Zean Lithos And Company Private Limited,Work From Home,2 Months," 9,000 /month",Hiring since August 2021,58 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week,Job offer",,5
Content Writing,WebReach Media Private Limited,Work From Home,6 Months," 10,000 /month",Hiring since December 2019,11 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week","Creative Writing,English Proficiency (Spoken),English Proficiency (Written),Social Media Marketing",1
Operations,Manisha Holiday,Aligarh,2 Months," 2,000 /month",Hiring since September 2021,2 opportunities posted,"Certificate,Letter of recommendation,Informal dress code,5 days a week","English Proficiency (Spoken),English Proficiency (Written),MS-Office",2
Content Writing,XcitEducation Foundations,Work From Home,3 Months,Unpaid,Hiring since March 2022,15 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week",,20
Figma Designing,XcitEducation Foundations,Work From Home,3 Months,Unpaid,Hiring since March 2022,15 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week",Figma,20
Content Writing,RMC Educational Service Centre,Work From Home,3 Months," 1,500-3,500 /month",Hiring since May 2021,96 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours","Blogging,Creative Writing,English Proficiency (Spoken),English Proficiency (Written),Search Engine Optimization (SEO)",5
Content Writing,Globis Vidya Private Limited,Work From Home,3 Months," 1,500-3,500 /month",Hiring since December 2021,47 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours","English Proficiency (Spoken),English Proficiency (Written),Search Engine Optimization (SEO)",5
Content Writing,Mapping Digiworld Private Limited (MyIndia),Work From Home,3 Months," 5,000 /month",Hiring since March 2021,32 opportunities posted,"Certificate,5 days a week","Blogging,Creative Writing,English Proficiency (Spoken),English Proficiency (Written)",2
Content Writing,CampusTrail Counselling Services,Work From Home,3 Months," 5,000 /month",Hiring since September 2021,40 opportunities posted,Letter of recommendation,"Blogging,Creative Writing,English Proficiency (Written),Proofreading",2
Operations,Sana Skillpromise Education Private Limited,Work From Home,1 Month," 2,000 /month",Hiring since September 2020,25 opportunities posted,"Certificate,5 days a week","English Proficiency (Written),MS-Office",1
Social Media Marketing,Webalar,Work From Home,2 Months," 2,000 /month",Hiring since September 2021,19 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week","Creative Writing,Digital Marketing,English Proficiency (Written),Facebook Marketing,Instagram Marketing,Search Engine Optimization (SEO),Social Media Marketing",1
Chartered Accountancy (CA),Nidhi S Jain & Company,Guwahati,2 Months," 5,000 /month +  Incentives",Hiring since July 2019,24 opportunities posted,"Certificate,5 days a week",,1
Content Writing,Hopaka,Work From Home,2 Months," 5,000 /month",Hiring since December 2017,14 opportunities posted,"Certificate,Flexible work hours","Blogging,Digital Marketing,English Proficiency (Written),Search Engine Optimization (SEO),Social Media Marketing",2
Graphic Design,Aseem Shrey,Work From Home,2 Months," 5,000 /month",Hiring since September 2021,7 opportunities posted,"Certificate,Letter of recommendation",,1
Graphic Design,Stay5villas,Work From Home,6 Months," 3,000 /month",Hiring since May 2022,2 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours",,1
Copywriting,Marpu Foundation,Work From Home,1 Week,Unpaid,Hiring since June 2021,149 opportunities posted,,,125
Human Resources (HR),XcitEducation Foundations,Work From Home,3 Months,Unpaid,Hiring since July 2021,291 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours",,20
Human Resources (HR),Erience Solutions,Ahmedabad,3 Months," 5,000-10,000 /month",Hiring since September 2019,76 opportunities posted,Certificate,,1
Web Development,Asterism InfoSoft,Ahmedabad,6 Months," 2,000-5,000 /month",Hiring since December 2019,80 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week","Android,AngularJS,Blockchain,Digital Marketing,iOS,Java,JavaScript,Node.js,PHP",10
Web Development,Asterism InfoSoft,Ahmedabad,6 Months," 2,000-5,000 /month",Hiring since December 2019,80 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week","Android,AngularJS,Blockchain,Digital Marketing,iOS,Java,JavaScript,Node.js,PHP",10
Content Writing,Asterism InfoSoft,Work From Home,6 Months," 3,000 /month",Hiring since December 2019,80 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week","Digital Marketing,English Proficiency (Spoken),English Proficiency (Written),Social Media Marketing",10
Content Editing,WordoWingss,Work From Home,5 Months," 3,000-5,000 /month",Hiring since August 2022,11 opportunities posted,"Certificate,Letter of recommendation","Content Writing,Proofreading,Search Engine Optimization (SEO)",10
Product Management,FatakPAY Digital Private Limited,Mumbai,3 Months," 10,000 /month",Hiring since July 2022,6 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,Informal dress code,5 days a week,Free snacks & beverages,Job offer",,1
Human Resources (HR),Womenite,Work From Home,1 Month,Unpaid,Hiring since May 2015,701 opportunities posted,Certificate,,10
Social Media Marketing,Womenite,Work From Home,1 Month,Unpaid,Hiring since May 2015,701 opportunities posted,Certificate,"Creative Writing,Digital Marketing,Email Marketing,English Proficiency (Spoken),English Proficiency (Written),Facebook Marketing,Instagram Marketing,Search Engine Marketing (SEM),Search Engine Optimization (SEO),Social Media Marketing",10
Content Writing,Asanify Technologies Private Limited,Work From Home,3 Months," 13,000-18,000 /month",Hiring since June 2020,42 opportunities posted,,"Blogging,Creative Writing,Digital Marketing,English Proficiency (Written),Search Engine Optimization (SEO),WordPress",1
Training - Coding (Indian Shift),Camp K12,Work From Home,3 Months," 20,000 /month",Hiring since April 2022,8 opportunities posted,"Certificate,Flexible work hours","C++ Programming,C Programming,JavaScript,Python",20
UX/UI Design,Penskull,Work From Home,6 Months," 8,000-10,000 /month",Hiring since September 2022,5 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours","Adobe After Effects,Adobe Illustrator,Adobe Photoshop,UI & UX Design,User Interface (UI) Development,Wireframing",2
Accounts,Ashok Kriplani,Delhi,6 Months," 5,000 /month",Hiring since October 2019,14 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,Informal dress code,5 days a week",Accounting,1
Fundraising,Hamaraa Mission Dignity,Work From Home,1 Month,Unpaid,Hiring since May 2021,4 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours",,10
Digital Marketing,IJRDO Journal,Gurgaon,3 Months," 8,000-12,000 /month",Hiring since December 2021,121 opportunities posted,,Digital Marketing,5
Social Media Marketing,IJRDO Journal,Gurgaon,3 Months," 8,000-14,000 /month",Hiring since December 2021,121 opportunities posted,,Social Media Marketing,5
Digital Marketing,Global Savian Consulting LLP,Work From Home,6 Months," 2,000 /month",Hiring since September 2020,31 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week",,6
Technical Writing,AEG Consultancy Services Private Limited,Bhopal,6 Months," 3,000 /month +  Incentives",Hiring since October 2020,5 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week","Algorithms,C++ Programming,Java,MATLAB,PHP,Python",5
Social Media Marketing,Dpotli,Jaipur,2 Months," 7,000-10,000 /month",Hiring since March 2021,9 opportunities posted,"Certificate,Letter of recommendation,Informal dress code","Creative Writing,Digital Marketing,English Proficiency (Written),Instagram Marketing,Search Engine Optimization (SEO),Social Media Marketing",2
Social Media Marketing,VRS Cosmetics,Mumbai,6 Months," 3,000-4,000 /month",Hiring since April 2021,11 opportunities posted,Letter of recommendation,"Creative Writing,Digital Marketing,Email Marketing,English Proficiency (Spoken),English Proficiency (Written),Facebook Marketing,Instagram Marketing,Social Media Marketing",1
Business Development (Sales),RackBank Datacenters Private Limited,Indore,2 Months," 6,000 /month",Hiring since September 2022,2 opportunities posted,"Certificate,Letter of recommendation,Informal dress code,5 days a week,Free snacks & beverages,Job offer","Internet of Things (IoT),Sales and Marketing,Salesforce",10
Graphic Design,Dobby Ads,Work From Home,3 Months," 20,000-35,000 /month",Hiring since July 2018,102 opportunities posted,"Certificate,Letter of recommendation,5 days a week","Adobe Illustrator,Adobe Photoshop",1
Graphic Design,Marketing Espy,Work From Home,3 Months," 6,000 /month",Hiring since September 2022,4 opportunities posted,,"Adobe After Effects,Adobe Illustrator,Adobe Indesign,Adobe Photoshop,Adobe Premiere Pro,CorelDRAW,Video Editing",2
Graphic Design,Recruit Logik,Hyderabad,3 Months," 10,000 /month",Hiring since November 2022,2 opportunities posted,"Letter of recommendation,Flexible work hours,Informal dress code,5 days a week",,2
Content Writing,Martini Homes,Mumbai,3 Months," 15,000 /month",Hiring since November 2022,1 opportunity posted,"Letter of recommendation,Informal dress code,5 days a week,Job offer","Creative Writing,Digital Marketing,English Proficiency (Spoken),English Proficiency (Written),Social Media Marketing",3
Business Development (Sales),SA Technologies,Work From Home,2 Months," 3,000 /month",Hiring since September 2022,4 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week","English Proficiency (Spoken),Sales,Sales and Marketing",2
Machine Learning And Data Science,Anubrain Technology Private Limited,Work From Home,3 Months," 2,000 /month",Hiring since March 2022,19 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours","Computer Vision,Deep Learning,Machine Learning,Mathematics,Natural Language Processing (NLP),Python,R Programming",2
LinkedIn Sales & Marketing,Idea Usher,Work From Home,3 Months," 10,000-15,000 /month",Hiring since December 2017,264 opportunities posted,"Certificate,5 days a week",,2
Web Development,CCBUL,Work From Home,5 Months," 5,000 /month",Hiring since January 2014,71 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week","AJAX,Bootstrap,jQuery,JSON,LARAVEL,MySQL,PHP,REST API",5
Mobile App Development,Mastork Technologies,Work From Home,3 Months," 7,000-10,000 /month",Hiring since June 2022,11 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours","Android,Firebase,GitHub,iOS,JavaScript,Node.js,React Native,Redux,REST API",3
Equity Research & Fundamental Analysis,3C Capitals,Work From Home,6 Months," 5,000 /month",Hiring since December 2018,60 opportunities posted,"Certificate,Flexible work hours,5 days a week","English Proficiency (Spoken),English Proficiency (Written),Hindi Proficiency (Spoken)",2
Business Development (Sales),TechEra Knowledge And Careers,Work From Home,1 Month," 2,000-6,000 /month",Hiring since November 2021,40 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week","Digital Marketing,Email Marketing,English Proficiency (Spoken),Event Management,Facebook Marketing,Instagram Marketing,Product Management,Salesforce",5
Digital Marketing,Dharohar Aroma,Noida,2 Months," 2,000-10,000 /month",Hiring since November 2022,3 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,Informal dress code","Creative Writing,Digital Marketing,English Proficiency (Spoken),Facebook Marketing,Instagram Marketing,Search Engine Marketing (SEM),Search Engine Optimization (SEO),Social Media Marketing",1
Human Resources (HR),Coding Junior,Work From Home,3 Months," 2,000 /month",Hiring since August 2021,577 opportunities posted,"Certificate,Letter of recommendation","English Proficiency (Spoken),English Proficiency (Written),MS-Excel,MS-Office,MS-Word",10
Management,CupShup,Delhi,3 Months," 8,000-10,000 /month",Hiring since September 2018,135 opportunities posted,"Certificate,Informal dress code,Free snacks & beverages","MS-Office,Sales and Marketing",8
Social Media Marketing,Scry Analytics India Private Limited,Work From Home,3 Months," 8,000-10,000 /month",Hiring since May 2022,11 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week","Digital Marketing,Facebook Marketing,Instagram Marketing,Social Media Marketing",1
Business Development (Sales),Sorta.club,Kolkata,3 Months," 4,000 /month +  Incentives",Hiring since February 2022,16 opportunities posted,"Certificate,Letter of recommendation,Informal dress code,Job offer","Accounting,Email Marketing,English Proficiency (Spoken),English Proficiency (Written),MS-Excel",2
Graphic Design,Oorla,Coimbatore,6 Months," 5,000 /month +  Incentives",Hiring since January 2022,4 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,Informal dress code,Free snacks & beverages,Job offer","Adobe After Effects,Adobe Illustrator,Adobe Photoshop,Adobe Premiere Pro,Video Editing",2
Video Making/Editing & Photo Editing,GemSeason,Work From Home,2 Months," 3,000 /month",Hiring since July 2022,13 opportunities posted,"Letter of recommendation,Flexible work hours","Adobe Photoshop,Adobe Photoshop Lightroom CC,Adobe Premiere Pro,Video Editing",3
Human Resources (HR),PeaceInfotech Services Private Limited,Thane,3 Months," 5,000 /month",Hiring since April 2016,141 opportunities posted,"Certificate,Letter of recommendation,Informal dress code","English Proficiency (Spoken),English Proficiency (Written),MS-Excel,MS-Office,MS-PowerPoint",2
Business Development (Sales),Zenesys IT & Consultancy Services,Work From Home,2 Months," 5,000 /month +  Incentives",Hiring since November 2022,1 opportunity posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week","English Proficiency (Spoken),English Proficiency (Written),MS-Excel,Social Media Marketing",20
Mobile App Development,StdMet,Work From Home,3 Months," 10,000 /month",Hiring since November 2022,1 opportunity posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week","Express.js,MongoDB,Node.js,ReactJS,React Native",4
Graphic Design,MUKTI,Kolkata,6 Months," 5,000 /month",Hiring since November 2022,2 opportunities posted,"Certificate,Letter of recommendation","Adobe After Effects,Adobe Illustrator,Adobe Photoshop,CorelDRAW,Video Editing",3
Business Development (Sales),CFO Buddies,Kolkata,3 Months," 5,000 /month +  Incentives",Hiring since November 2022,1 opportunity posted,"Informal dress code,5 days a week","Digital Marketing,Email Marketing,English Proficiency (Spoken),English Proficiency (Written),MS-Excel,Social Media Marketing",2
Web Development,PeaceInfotech Services Private Limited,Mumbai,6 Months," 5,000 /month",Hiring since April 2016,141 opportunities posted,"Certificate,Letter of recommendation,Informal dress code","Bootstrap,CSS,HTML,JavaScript,PHP",10
